run,algorithm,best_conflicts,final_conflicts,iterations,time_seconds
0,GLS,0,1141.13,30,33.35064125061035
0,ILS,0,0.0,1,7.425155401229858
1,GLS,0,1391.52,15,33.18975377082825
1,ILS,0,0.0,2,2.7971911430358887
2,GLS,0,985.39,39,42.71556496620178
2,ILS,0,0.0,3,2.5354621410369873
