run,algorithm,best_conflicts,final_conflicts,iterations,time_seconds
0,GLS,0,3.18,1397,19.499245405197144
0,ILS,0,0.0,91,1.3155162334442139
1,GLS,0,3.68,1200,16.809154272079468
1,ILS,0,0.0,91,1.2409801483154297
2,GLS,0,4.08,1029,14.991061687469482
2,ILS,3,30.0,5000,72.85647344589233
3,GLS,0,2.56,879,12.759855270385742
3,ILS,1,25.0,5000,72.11140036582947
4,GLS,0,3.06,1263,17.48402190208435
4,ILS,0,0.0,91,1.3742220401763916
