generation,best_penalty,average_penalty
318,46.0,124.0
319,46.0,58.0
320,46.0,63.0
321,46.0,61.0
322,46.0,59.0
323,46.0,67.0
324,46.0,64.0
325,46.0,62.0
326,46.0,63.0
327,46.0,130.0
328,46.0,80.0
329,46.0,76.0
330,46.0,59.0
331,46.0,127.0
332,46.0,135.0
333,46.0,157.0
334,46.0,66.0
335,46.0,130.0
336,46.0,66.0
337,46.0,129.0
338,46.0,143.0
339,46.0,145.0
340,46.0,71.0
341,46.0,71.0
342,46.0,133.0
343,46.0,152.0
344,46.0,147.0
345,46.0,152.0
346,46.0,75.0
347,46.0,70.0
348,46.0,64.0
349,46.0,68.0
350,46.0,68.0
351,46.0,60.0
352,46.0,55.0
353,46.0,112.0
354,46.0,131.0
355,46.0,66.0
356,46.0,65.0
357,46.0,132.0
358,46.0,138.0
359,46.0,140.0
360,46.0,59.0
361,46.0,68.0
362,46.0,69.0
363,46.0,60.0
364,46.0,73.0
365,46.0,62.0
366,46.0,57.0
367,46.0,57.0
368,46.0,52.0
369,46.0,67.0
370,46.0,63.0
371,46.0,67.0
372,46.0,69.0
373,46.0,59.0
374,46.0,57.0
375,46.0,60.0
376,46.0,55.0
377,46.0,69.0
378,46.0,64.0
379,46.0,61.0
380,46.0,52.0
381,46.0,145.0
382,46.0,59.0
383,46.0,55.0
384,46.0,57.0
385,46.0,50.0
386,46.0,52.0
387,46.0,56.0
388,46.0,55.0
389,46.0,54.0
390,46.0,52.0
391,46.0,48.0
392,46.0,48.0
393,46.0,57.0
394,46.0,54.0
395,46.0,57.0
396,46.0,58.0
397,46.0,55.0
398,46.0,57.0
399,46.0,55.0
400,46.0,53.0
401,46.0,63.0
402,46.0,53.0
403,46.0,54.0
404,46.0,56.0
405,46.0,59.0
406,46.0,60.0
407,46.0,54.0
408,46.0,54.0
409,46.0,146.0
410,46.0,63.0
411,46.0,69.0
412,46.0,66.0
413,46.0,73.0
414,46.0,63.0
415,46.0,60.0
416,46.0,57.0
417,46.0,63.0
418,46.0,61.0
419,46.0,74.0
420,46.0,70.0
421,46.0,68.0
422,46.0,63.0
423,46.0,65.0
424,46.0,73.0
425,46.0,68.0
426,46.0,60.0
427,46.0,62.0
428,46.0,67.0
429,46.0,69.0
430,46.0,66.0
431,46.0,65.0
432,46.0,61.0
433,46.0,58.0
434,46.0,61.0
435,46.0,62.0
436,46.0,57.0
437,46.0,68.0
438,46.0,73.0
439,46.0,58.0
440,46.0,51.0
441,46.0,58.0
442,46.0,62.0
443,46.0,67.0
444,46.0,54.0
445,46.0,61.0
446,46.0,64.0
447,46.0,55.0
448,46.0,73.0
449,46.0,64.0
450,46.0,58.0
451,46.0,56.0
452,46.0,61.0
453,46.0,56.0
454,46.0,57.0
455,46.0,53.0
456,46.0,67.0
457,46.0,63.0
458,46.0,57.0
459,46.0,70.0
460,46.0,66.0
461,46.0,71.0
462,46.0,61.0
463,46.0,68.0
464,46.0,58.0
465,46.0,65.0
466,46.0,59.0
467,46.0,58.0
468,46.0,60.0
469,46.0,57.0
470,46.0,67.0
471,46.0,74.0
472,46.0,68.0
473,46.0,62.0
474,46.0,71.0
475,46.0,73.0
476,46.0,76.0
477,46.0,65.0
478,46.0,69.0
479,46.0,70.0
480,46.0,79.0
481,46.0,71.0
482,46.0,58.0
483,46.0,53.0
484,46.0,55.0
485,46.0,53.0
486,46.0,57.0
487,46.0,67.0
488,46.0,60.0
489,46.0,67.0
490,46.0,56.0
491,46.0,60.0
492,46.0,67.0
493,46.0,63.0
494,46.0,68.0
495,46.0,54.0
496,46.0,59.0
497,46.0,63.0
498,46.0,64.0
499,46.0,55.0
500,46.0,50.0
501,46.0,53.0
502,46.0,49.0
503,46.0,56.0
504,46.0,54.0
505,46.0,58.0
506,46.0,63.0
507,46.0,53.0
508,46.0,57.0
509,46.0,69.0
510,46.0,76.0
511,46.0,66.0
512,46.0,70.0
513,46.0,65.0
514,46.0,69.0
515,46.0,61.0
516,46.0,61.0
517,46.0,67.0
518,46.0,62.0
519,46.0,54.0
520,46.0,60.0
521,46.0,82.0
522,46.0,65.0
523,46.0,69.0
524,46.0,80.0
525,46.0,63.0
526,46.0,80.0
527,46.0,69.0
528,46.0,61.0
529,46.0,64.0
530,46.0,61.0
531,46.0,58.0
532,46.0,62.0
533,46.0,56.0
534,46.0,67.0
535,46.0,71.0
536,46.0,79.0
537,46.0,65.0
538,46.0,75.0
539,46.0,68.0
540,46.0,62.0
541,46.0,65.0
542,46.0,64.0
543,46.0,78.0
544,46.0,61.0
545,46.0,62.0
546,46.0,69.0
547,46.0,77.0
548,46.0,59.0
549,46.0,76.0
550,46.0,65.0
551,46.0,63.0
552,46.0,59.0
553,46.0,56.0
554,46.0,80.0
555,46.0,66.0
556,46.0,75.0
557,46.0,62.0
558,46.0,54.0
559,46.0,66.0
560,46.0,68.0
561,46.0,80.0
562,46.0,70.0
563,46.0,67.0
564,46.0,74.0
565,46.0,73.0
566,46.0,76.0
567,46.0,77.0
568,46.0,82.0
569,46.0,87.0
570,46.0,86.0
571,46.0,83.0
572,46.0,82.0
573,46.0,66.0
574,46.0,71.0
575,46.0,69.0
576,46.0,85.0
577,46.0,85.0
578,46.0,80.0
579,46.0,68.0
580,46.0,81.0
581,46.0,64.0
582,46.0,77.0
583,46.0,79.0
584,46.0,68.0
585,46.0,72.0
586,46.0,61.0
587,46.0,67.0
588,46.0,67.0
589,46.0,62.0
590,46.0,62.0
591,46.0,64.0
592,46.0,63.0
593,46.0,57.0
594,46.0,57.0
595,46.0,72.0
596,46.0,59.0
597,46.0,78.0
598,46.0,66.0
599,46.0,73.0
600,46.0,86.0
601,46.0,77.0
602,46.0,93.0
603,46.0,90.0
604,46.0,84.0
605,46.0,85.0
606,46.0,70.0
607,46.0,66.0
608,46.0,69.0
609,46.0,77.0
610,46.0,69.0
611,46.0,70.0
612,46.0,87.0
613,46.0,80.0
614,46.0,69.0
615,46.0,82.0
616,46.0,88.0
617,46.0,91.0
618,46.0,84.0
619,46.0,97.0
620,46.0,88.0
621,46.0,86.0
622,46.0,66.0
623,46.0,78.0
624,46.0,80.0
625,46.0,77.0
626,46.0,86.0
627,46.0,74.0
628,46.0,64.0
629,46.0,67.0
630,46.0,61.0
631,46.0,72.0
632,46.0,77.0
633,46.0,80.0
634,46.0,75.0
635,46.0,69.0
636,46.0,65.0
637,46.0,79.0
638,46.0,64.0
639,46.0,73.0
640,46.0,71.0
641,46.0,72.0
642,46.0,82.0
643,46.0,74.0
644,46.0,86.0
645,46.0,97.0
646,46.0,74.0
647,46.0,90.0
648,46.0,103.0
649,46.0,101.0
650,46.0,86.0
651,46.0,69.0
652,46.0,73.0
653,46.0,65.0
654,46.0,73.0
655,46.0,80.0
656,46.0,82.0
657,46.0,90.0
658,46.0,75.0
659,46.0,86.0
660,46.0,110.0
661,46.0,72.0
662,46.0,77.0
663,46.0,85.0
664,46.0,79.0
665,46.0,75.0
666,46.0,65.0
667,46.0,82.0
668,46.0,80.0
669,46.0,244.0
670,46.0,79.0
671,46.0,73.0
672,46.0,68.0
673,46.0,70.0
674,46.0,78.0
675,46.0,103.0
676,46.0,82.0
677,46.0,91.0
678,46.0,75.0
679,46.0,66.0
680,46.0,70.0
681,46.0,64.0
682,46.0,72.0
683,46.0,76.0
684,46.0,84.0
685,46.0,78.0
686,46.0,91.0
687,46.0,90.0
688,46.0,80.0
689,46.0,82.0
690,46.0,80.0
691,46.0,85.0
692,46.0,68.0
693,46.0,74.0
694,46.0,77.0
695,46.0,90.0
696,46.0,102.0
697,46.0,95.0
698,46.0,86.0
699,46.0,83.0
700,46.0,99.0
701,46.0,85.0
702,46.0,89.0
703,46.0,88.0
704,46.0,97.0
705,46.0,96.0
706,46.0,79.0
707,46.0,90.0
708,46.0,80.0
709,46.0,85.0
710,46.0,78.0
711,46.0,82.0
712,46.0,82.0
713,46.0,87.0
714,46.0,78.0
715,46.0,79.0
716,46.0,107.0
717,46.0,80.0
718,46.0,75.0
719,46.0,83.0
720,46.0,71.0
721,46.0,64.0
722,46.0,79.0
723,46.0,77.0
724,46.0,93.0
725,46.0,90.0
726,46.0,83.0
727,46.0,83.0
728,46.0,92.0
729,46.0,68.0
730,46.0,88.0
731,46.0,77.0
732,46.0,84.0
733,46.0,84.0
734,46.0,99.0
735,46.0,80.0
736,46.0,70.0
737,46.0,78.0
